time,latitude,longitude,depth,mag
2021-10-23T06:30:05.670Z,33.2335,-116.5995,17.34,0.85
2021-10-23T06:27:59.960Z,38.8313332,-122.8001633,0.8,0.85
2021-10-23T06:24:34.260Z,38.8306656,-122.7994995,1.41,0.46
2021-10-23T06:21:25.480Z,38.8339996,-122.796669,1.52,0.46
2021-10-23T06:08:12.910Z,38.1903,-117.8834,8.1,0.8
2021-10-23T06:05:08.482Z,61.0229,-151.6669,65.6,1.4
2021-10-23T06:00:02.120Z,38.8303337,-122.8001633,1.1,0.85
2021-10-23T05:56:48.590Z,34.1233333,-117.4788333,5,1.07
2021-10-23T05:56:03.170Z,38.8339996,-122.8026657,2.25,1.04
2021-10-23T05:53:20.850Z,38.838501,-122.7994995,1.78,0.85
2021-10-23T05:49:29.190Z,38.8334999,-122.802002,1.49,0.97
2021-10-23T05:40:22.080Z,38.8303337,-122.7994995,1.34,1.63
2021-10-23T05:35:15.420Z,59.9483,-152.9148,107.9,1.5
2021-10-23T05:33:06.910Z,38.831501,-122.7985001,1.87,0.85
2021-10-23T05:29:53.310Z,38.8213348,-122.7648315,1.89,1.9
2021-10-23T05:29:03.030Z,38.8346672,-122.8031693,2,1.05
2021-10-23T05:28:13.180Z,38.8296661,-122.803833,1.33,0.75
2021-10-23T05:24:16.992Z,64.4007,-147.2537,10.2,1.5
2021-10-23T05:18:12.960Z,38.8276672,-122.8096695,1.07,0.63
2021-10-23T04:54:32.700Z,38.7905006,-122.7498322,1.18,1.6
2021-10-23T04:54:04.100Z,38.8371658,-122.8011703,1.83,0.94
2021-10-23T04:53:00.490Z,38.8371658,-122.802002,1.32,1.13
2021-10-23T04:51:19.190Z,38.8076668,-122.8193359,3.2,0.35
2021-10-23T04:42:17.270Z,38.8284988,-122.8013306,2.12,0.8
2021-10-23T04:40:01.510Z,40.3754997,-124.4544983,23.9,1.99
2021-10-23T04:39:49.220Z,38.8346672,-122.8006668,2.09,0.91
2021-10-23T04:39:04.730Z,38.8305016,-122.7998352,1.2,0.85
2021-10-23T04:37:40.650Z,38.8313332,-122.8008347,-0.91,0.85
2021-10-23T04:36:55.570Z,38.8303337,-122.7994995,1.3,0.8
2021-10-23T04:35:54.550Z,38.8186684,-122.800499,2.76,0.35
2021-10-23T04:33:35.650Z,38.8364983,-122.8065033,2.11,0.77
2021-10-23T04:33:16.820Z,38.828167,-122.7978363,1.3,0.64
2021-10-23T04:32:41.110Z,38.8048325,-122.7816696,1.38,1.02
2021-10-23T04:31:42.410Z,38.8326683,-122.7975006,1.93,0.85
2021-10-23T04:31:18.280Z,38.8351669,-122.7948303,0.95,1
2021-10-23T04:30:53.750Z,38.8248329,-122.8034973,1.2,1.14
2021-10-23T04:30:47.380Z,38.8330002,-122.8000031,1.58,0.55
2021-10-23T04:30:40.380Z,38.838665,-122.8010025,1.11,0.36
2021-10-23T04:30:01.670Z,38.841835,-122.8273315,1.57,1.12
2021-10-23T04:29:37.230Z,38.8310013,-122.800499,1.66,1.39
2021-10-23T04:29:16.460Z,38.829834,-122.8014984,0.63,0.8
2021-10-23T04:28:33.510Z,38.8320007,-122.8000031,1.55,1.21
